iter	Passed	Remaining
0	3	394
1	7	391
2	10	343
3	13	315
4	15	296
5	19	298
6	24	326
7	32	368
8	34	350
9	37	333
10	40	323
11	42	314
12	45	305
13	48	296
14	51	289
15	54	283
16	56	274
17	58	265
18	61	262
19	64	259
20	67	254
21	70	249
22	73	247
23	76	241
24	78	234
25	80	229
26	83	226
27	85	220
28	87	214
29	89	209
30	92	206
31	96	204
32	98	200
33	102	198
34	104	194
35	106	189
36	109	186
37	112	183
38	114	179
39	116	175
40	118	170
41	119	165
42	121	161
43	124	158
44	128	156
45	131	154
46	134	151
47	137	148
48	139	145
49	143	143
50	146	140
51	148	137
52	151	134
53	155	132
54	157	128
55	159	125
56	163	122
57	166	120
58	168	117
59	170	113
60	173	110
61	175	107
62	177	104
63	179	101
64	183	99
65	187	96
66	190	93
67	194	91
68	198	89
69	200	86
70	204	83
71	206	80
72	209	77
73	211	74
74	214	71
75	216	68
76	219	65
77	223	62
78	226	60
79	228	57
80	232	54
81	235	51
82	238	48
83	241	45
84	244	43
85	246	40
86	249	37
87	251	34
88	254	31
89	257	28
90	261	25
91	264	23
92	268	20
93	270	17
94	274	14
95	278	11
96	281	8
97	284	5
98	287	2
99	290	0
