iter	Passed	Remaining
0	156	156039
1	160	80268
2	164	54700
3	169	42316
4	173	34500
5	176	29281
6	179	25504
7	185	22961
8	191	21033
9	195	19375
10	205	18440
11	223	18394
12	233	17735
13	234	16544
14	235	15494
15	236	14570
16	237	13753
17	238	13028
18	240	12395
19	241	11817
20	242	11290
21	243	10809
22	244	10373
23	245	9970
24	247	9653
25	248	9315
26	249	9006
27	250	8711
28	251	8436
29	253	8185
30	254	7946
31	255	7720
32	256	7508
33	257	7312
34	258	7125
35	259	6947
36	261	6806
37	262	6658
38	265	6542
39	266	6400
40	267	6262
41	268	6135
42	270	6009
43	272	5919
44	273	5813
45	275	5719
46	286	5808
47	294	5836
48	299	5811
49	304	5779
50	312	5818
51	321	5861
52	330	5907
53	413	7248
54	432	7429
55	479	8083
56	506	8383
57	512	8321
58	525	8374
59	530	8316
60	538	8286
61	548	8299
62	553	8230
63	563	8244
64	568	8171
65	578	8189
66	583	8130
67	591	8105
68	597	8063
69	602	8011
70	613	8027
71	618	7967
72	626	7956
73	631	7899
74	640	7897
75	647	7875
76	652	7825
77	657	7770
78	661	7713
79	665	7652
80	674	7649
81	678	7600
82	682	7536
83	687	7496
84	692	7455
85	701	7455
86	710	7455
87	716	7428
88	721	7384
89	725	7339
90	731	7308
91	736	7265
92	740	7220
93	745	7183
94	749	7141
95	753	7100
96	758	7064
97	765	7041
98	770	7010
99	775	6979
100	780	6944
101	784	6910
102	801	6979
103	815	7028
104	828	7059
105	848	7154
106	877	7320
107	880	7273
108	885	7234
109	889	7196
110	893	7152
111	896	7108
112	902	7086
113	908	7059
114	912	7025
115	919	7008
116	922	6964
117	926	6928
118	934	6919
119	938	6884
120	943	6852
121	948	6825
122	951	6787
123	955	6750
124	958	6712
125	964	6691
126	967	6652
127	971	6617
128	975	6587
129	980	6561
130	983	6525
131	987	6491
132	993	6473
133	997	6444
134	1001	6414
135	1004	6383
136	1012	6375
137	1016	6350
138	1030	6381
139	1033	6351
140	1042	6353
141	1045	6316
142	1049	6288
143	1053	6264
144	1058	6240
145	1061	6211
146	1065	6184
147	1073	6180
148	1077	6156
149	1082	6136
150	1086	6110
151	1090	6083
152	1094	6057
153	1100	6043
154	1103	6018
155	1108	5997
156	1113	5980
157	1118	5958
158	1121	5933
159	1128	5927
160	1134	5910
161	1138	5888
162	1146	5885
163	1150	5864
164	1154	5843
165	1159	5824
166	1163	5801
167	1166	5778
168	1170	5754
169	1175	5737
170	1178	5714
171	1183	5694
172	1188	5680
173	1192	5662
174	1196	5641
175	1200	5621
176	1205	5605
177	1213	5601
178	1220	5597
179	1224	5576
180	1227	5555
181	1231	5535
182	1235	5516
183	1239	5497
184	1243	5478
185	1248	5464
186	1252	5447
187	1257	5429
188	1260	5410
189	1267	5402
190	1272	5389
191	1276	5370
192	1283	5368
193	1287	5350
194	1292	5333
195	1296	5319
196	1300	5301
197	1304	5281
198	1307	5262
199	1312	5249
200	1316	5232
201	1320	5215
202	1324	5201
203	1328	5184
204	1332	5167
205	1336	5151
206	1341	5138
207	1345	5123
208	1349	5106
209	1353	5091
210	1358	5079
211	1363	5066
212	1367	5051
213	1374	5049
214	1378	5032
215	1382	5017
216	1387	5004
217	1390	4988
218	1394	4972
219	1397	4956
220	1402	4943
221	1406	4927
222	1410	4913
223	1414	4901
224	1419	4889
225	1424	4877
226	1427	4862
227	1433	4852
228	1436	4837
229	1440	4823
230	1444	4808
231	1449	4798
232	1453	4784
233	1456	4769
234	1462	4759
235	1467	4751
236	1471	4737
237	1477	4729
238	1481	4716
239	1485	4702
240	1488	4688
241	1496	4686
242	1499	4672
243	1504	4660
244	1509	4650
245	1513	4637
246	1516	4624
247	1524	4621
248	1528	4609
249	1532	4596
250	1535	4582
251	1539	4570
252	1543	4556
253	1546	4542
254	1549	4527
255	1553	4514
256	1556	4500
257	1559	4485
258	1563	4471
259	1566	4458
260	1570	4445
261	1574	4434
262	1577	4421
263	1581	4408
264	1584	4396
265	1588	4382
266	1591	4370
267	1595	4356
268	1598	4344
269	1602	4332
270	1605	4320
271	1609	4306
272	1614	4299
273	1617	4286
274	1621	4274
275	1624	4260
276	1628	4250
277	1631	4237
278	1634	4224
279	1637	4211
280	1645	4209
281	1649	4198
282	1652	4186
283	1655	4173
284	1660	4165
285	1663	4152
286	1666	4140
287	1669	4128
288	1677	4128
289	1680	4115
290	1684	4103
291	1689	4096
